end_of_period,loan_number,region,country_code,country,borrower,guarantor_country_code,guarantor,loan_type,loan_status,interest_rate,currency_of_commitment,project_id,project_name_,original_principal_amount,cancelled_amount,undisbursed_amount,disbursed_amount,repaid_to_ibrd,due_to_ibrd,exchange_adjustment,borrowers_obligation,sold_3rd_party,repaid_3rd_party,due_3rd_party,loans_held,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_most_recent,closed_date_most_recent,last_disbursement_date
31-Jan-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Mar-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
28-Feb-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jan-2022,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Mar-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
28-Feb-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jan-2021,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Mar-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
29-Feb-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jan-2020,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Mar-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
28-Feb-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jan-2019,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2018,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NON POOL,Fully Repaid,4.25,,P037383,,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
